TBADatenID,EQUI,LGNR,DATUM,AP,MASTERDAT,FA,MATNR,PERS,STK_GES,STK_NIO,STK_IO,MD1_DREH,MD2_DREH,MD3_DREH,MD4_DREH,PD1_DREH,PD2_DREH,PD3_DREH,PD4_DREH,WUCHTVERS_ANZ,DAUER_PRO_ATL,STATUS,DOK,MD1_ANLIEF_MG,MD1_ANLIEF_G,MD1_AUSLIEF_MG,MD1_AUSLIEF_G,MD2_ANLIEF_MG,MD2_ANLIEF_G,MD2_AUSLIEF_MG,MD2_AUSLIEF_G,MD3_ANLIEF_MG,MD3_ANLIEF_G,MD3_AUSLIEF_MG,MD3_AUSLIEF_G,MD4_ANLIEF_MG,MD4_ANLIEF_G,MD4_AUSLIEF_MG,MD4_AUSLIEF_G,EB1_ANLIEF_MG,EB1_ANLIEF_G,EB1_AUSLIEF_MG,EB1_AUSLIEF_G,EB2_ANLIEF_MG,EB2_ANLIEF_G,EB2_AUSLIEF_MG,EB2_AUSLIEF_G,PD1_ANLIEF_1_MV,PD1_ANLIEF_1_G,PD1_AUSLIEF_1_MV,PD1_AUSLIEF_1_G,PD2_ANLIEF_1_MV,PD2_ANLIEF_1_G,PD2_AUSLIEF_1_MV,PD2_AUSLIEF_1_G,PD3_ANLIEF_1_MV,PD3_ANLIEF_1_G,PD3_AUSLIEF_1_MV,PD3_AUSLIEF_1_G,PD4_ANLIEF_1_MV,PD4_ANLIEF_1_G,PD4_AUSLIEF_1_MV,PD4_AUSLIEF_1_G,ARBEITSGANG,KALI_LADER,OEL_DURCHFLUSS,OEL_DRUCK,OEL_TEMPERATUR,PF_SET,PF_TORQUE,PF_ANGLE,SPANN_DRUCK,Gesamtdurchlaufzeit,System
5085205,1,0020007910431251065202261355230B,2026-06-24 23:55:13,314116, , ,104319220141,0,0,0,0,57000,110000,0,0,120000,0,0,0,0,0:16,1002,503,0         ,0,"49,39     ",228,0         ,0,"36,91     ",213,0         ,0,0         ,0,0,0,0,0,0         ,0,0         ,0,0         ,0,0         ,0,0         ,0,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,24      ","4,98      ","45,13     ",3,"5,01      ",94,"65,53     ",0:47      ,3
5067540,1,0020007910431251065202261355541C,2026-06-19 06:08:05,314116, , ,104319220141,0,0,0,0,57000,110000,0,0,120000,0,0,0,2,2:29,1002,503,"51,1      ",216,"1,52      ",237,"19,76     ",201,"3,35      ",166,0         ,0,0         ,0,0,0,0,0,"32,31     ",193,0         ,0,"18,4      ",165,0         ,0,"0,91      ",240,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,36      ","4,92      ","45,02     ",3,"3,94      ",94,"64,93     ",6:47      ,3
5074619,1,0020007910431251065202261366699B,2026-06-21 09:04:28,314116, , ,104319220141,0,0,0,0,57000,110000,0,0,120000,0,0,0,2,2:20,1002,503,"36,67     ",81,"5,7       ",177,"20,93     ",53,"0,72      ",165,0         ,0,0         ,0,0,0,0,0,"34,59     ",35,0         ,0,"6,83      ",51,0         ,0,"5,85      ",357,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,36      ","4,85      ","44,9      ",3,"4,31      ",94,"65,03     ",2:51      ,3
5051983,1,0020007910431251065202261366770B,2026-06-14 11:06:13,314116, , ,104319220141,0,0,0,0,57000,110000,0,0,120000,0,0,0,0,0:16,1002,503,0         ,0,"28,08     ",85,0         ,0,"15,22     ",51,0         ,0,0         ,0,0,0,0,0,0         ,0,0         ,0,0         ,0,0         ,0,0         ,0,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,28      ","4,82      ","45,39     ",3,"3,84      ",93,"65,53     ",0:47      ,3
5081253,1,0020007910431251065202261366862B,2026-06-23 21:02:40,314116, , ,104319220141,0,0,0,0,57000,110000,0,0,120000,0,0,0,0,0:16,1002,503,0         ,0,"32,04     ",236,0         ,0,"14,16     ",142,0         ,0,0         ,0,0,0,0,0,0         ,0,0         ,0,0         ,0,0         ,0,0         ,0,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,31      ","4,97      ","45,6      ",3,"3,97      ",93,"65,53     ",0:47      ,3
5063922,1,0020007910431251065202261366980C,2026-06-18 07:05:37,314116, , ,104319220141,0,0,0,0,57000,110000,0,0,120000,0,0,0,2,2:17,1002,503,"10,19     ",34,"2,82      ",142,"6,95      ",333,"1,44      ",267,0         ,0,0         ,0,0,0,0,0,"10,62     ",318,0         ,0,"2,37      ",34,0         ,0,"2,57      ",248,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,29      ","5,02      ","45,1      ",3,"3,9       ",93,"64,88     ",2:48      ,3
5081421,1,0020007910431251065202261377892C,2026-06-23 22:07:09,314116, , ,104319220141,0,0,0,0,57000,110000,0,0,120000,0,0,0,0,0:16,1002,503,0         ,0,"40,22     ",190,0         ,0,"32,81     ",174,0         ,0,0         ,0,0,0,0,0,0         ,0,0         ,0,0         ,0,0         ,0,0         ,0,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,28      ","4,97      ","45,28     ",3,"4,1       ",93,"65,46     ",6:23      ,3
5081443,1,0020007910431251065202261377913C,2026-06-23 22:14:31,314116, , ,104319220141,0,0,0,0,57000,110000,0,0,120000,0,0,0,1,1:15,1002,503,"44,58     ",254,"13,74     ",284,"16,44     ",225,2         ,319,0         ,0,0         ,0,0,0,0,0,"25,87     ",207,0         ,0,"15,15     ",222,0         ,0,"4,62      ",58,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,35      ","4,97      ","45,25     ",3,"4,72      ",93,"64,88     ",1:46      ,3
5073340,1,0020007910431251065202261378211C,2026-06-20 23:55:55,314116, , ,104319220141,0,0,0,0,57000,110000,0,0,120000,0,0,0,0,0:16,1002,503,0         ,0,"33,52     ",247,0         ,0,"16,92     ",264,0         ,0,0         ,0,0,0,0,0,0         ,0,0         ,0,0         ,0,0         ,0,0         ,0,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,25      ","4,91      ","45,86     ",3,"4,58      ",93,"65,53     ",0:47      ,3
5081388,1,0020007910431251065202261388826B,2026-06-23 21:54:17,314116, , ,104319220141,0,0,0,0,57000,110000,0,0,120000,0,0,0,1,1:08,1002,503,"19,9      ",334,"14,64     ",356,"5,67      ",148,"1,55      ",24,0         ,0,0         ,0,0,0,0,0,"10,15     ",137,0         ,0,"13,68     ",304,0         ,0,"3,52      ",167,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,3       ","4,97      ","45,25     ",3,"4,78      ",93,"65,03     ",3:21      ,3
