source_timestamp,job_id,cell_name,part_number,station_name,activity_name,activity_value,ewma,mean,stddev,z_prev,L,lambda_,sigma_ewma,ucl,lcl,drift
2026-09-11 03:00:26+00:00,2668967,C6,313539022222,174D,ca_shaft_nut_torque,2.12,2.1476513011152414,2.148215613382899,0.12247059421624276,2.148215613382899,2.0,0.02,0.002449411884324858,2.1531144371515487,2.1433167896142495,0
2026-09-11 03:01:15+00:00,2668970,C6,313539022222,174D,ca_shaft_nut_torque,2.28,2.1502982750929363,2.148215613382899,0.12247059421624276,2.1476513011152414,2.0,0.02,0.0034295265361872405,2.1550746664552736,2.1413565603105247,0
2026-09-11 03:01:56+00:00,2668971,C6,313539022222,174D,ca_shaft_nut_torque,2.25,2.1522923095910773,2.148215613382899,0.12247059421624276,2.1502982750929363,2.0,0.02,0.004158787012085705,2.1565331874070703,2.139898039358728,0
2026-09-11 03:03:37+00:00,2668972,C6,313539022222,174D,ca_shaft_nut_torque,2.2,2.1532464633992556,2.148215613382899,0.12247059421624276,2.1522923095910773,2.0,0.02,0.0047550211164887205,2.1577256556158764,2.138705571149922,0
2026-09-11 03:50:57+00:00,2668973,C6,313539022222,174D,ca_shaft_nut_torque,2.21,2.1543815341312706,2.148215613382899,0.12247059421624276,2.1532464633992556,2.0,0.02,0.005264454335913898,2.158744522054727,2.1376867047110713,0
2026-09-11 03:51:48+00:00,2668974,C6,313539022222,174D,ca_shaft_nut_torque,2.02,2.151693903448645,2.148215613382899,0.12247059421624276,2.1543815341312706,2.0,0.02,0.005711094872927568,2.159637803128754,2.136793423637044,0
2026-09-11 03:52:23+00:00,2668975,C6,313539022222,174D,ca_shaft_nut_torque,2.17,2.1520600253796722,2.148215613382899,0.12247059421624276,2.151693903448645,2.0,0.02,0.00610938668628916,2.1604343867554774,2.135996840010321,0
2026-09-11 03:52:55+00:00,2668976,C6,313539022222,174D,ca_shaft_nut_torque,2.06,2.150218824872079,2.148215613382899,0.12247059421624276,2.1520600253796722,2.0,0.02,0.0064688615595518695,2.161153336502003,2.1352778902637954,0
2026-09-11 03:53:28+00:00,2668977,C6,313539022222,174D,ca_shaft_nut_torque,2.13,2.1498144483746375,2.148215613382899,0.12247059421624276,2.150218824872079,2.0,0.02,0.006796225432444427,2.161808064247788,2.13462316251801,0
2026-09-11 03:53:58+00:00,2668978,C6,313539022222,174D,ca_shaft_nut_torque,2.22,2.151218159407145,2.148215613382899,0.12247059421624276,2.1498144483746375,2.0,0.02,0.007096423534047523,2.1624084604509943,2.134022766314804,0
2026-09-11 03:54:31+00:00,2668979,C6,313539022222,174D,ca_shaft_nut_torque,1.87,2.1455937962190017,2.148215613382899,0.12247059421624276,2.151218159407145,2.0,0.02,0.0073732367495871086,2.1629620868820734,2.133469139883725,0
2026-09-11 03:55:03+00:00,2668980,C6,313539022222,174D,ca_shaft_nut_torque,2.13,2.1452819202946216,2.148215613382899,0.12247059421624276,2.1455937962190017,2.0,0.02,0.007629639558064418,2.163474892499028,2.1329563342667703,0
2026-09-11 03:55:40+00:00,2668984,C6,313539022222,174D,ca_shaft_nut_torque,2.21,2.1465762818887293,2.148215613382899,0.12247059421624276,2.1452819202946216,2.0,0.02,0.007868026876767034,2.163951667136433,2.132479559629365,0
2026-09-11 03:57:43+00:00,2668990,C6,313539022222,174D,ca_shaft_nut_torque,2.03,2.144244756250955,2.148215613382899,0.12247059421624276,2.1465762818887293,2.0,0.02,0.008090364267079235,2.1643963419170578,2.1320348848487405,0
2026-09-11 03:58:15+00:00,2668991,C6,313539022222,174D,ca_shaft_nut_torque,2.07,2.1427598611259357,2.148215613382899,0.12247059421624276,2.144244756250955,2.0,0.02,0.008298291052483798,2.1648121954878667,2.1316190312779315,0
