source_timestamp,job_id,cell_name,part_number,station_name,activity_name,activity_value,ewma,mean,stddev,z_prev,L,lambda_,sigma_ewma,ucl,lcl,drift
2026-09-09 11:25:38+00:00,2661699,C7,313329022001,CB,final_torque,2.24,2.720871221935342,2.682184466019418,0.3166106686244901,2.7306849203421857,2.0,0.02,0.0318167071549533,2.7458178803293247,2.6185510517095114,0
2026-09-09 11:22:04+00:00,2661683,C7,313329022001,CB,final_torque,2.74,2.7306849203421857,2.682184466019418,0.3166106686244901,2.7304948166757,2.0,0.02,0.0318165478908225,2.745817561801063,2.618551370237773,0
2026-09-09 11:20:52+00:00,2661681,C7,313329022001,CB,final_torque,2.99,2.7304948166757,2.682184466019418,0.3166106686244901,2.725198792526224,2.0,0.02,0.0318163820589353,2.7458172301372885,2.618551701901548,0
2026-09-09 11:20:09+00:00,2661678,C7,313329022001,CB,final_torque,2.27,2.725198792526224,2.682184466019418,0.3166106686244901,2.7344885638022696,2.0,0.02,0.0318162093884132,2.7458168847962448,2.6185520472425914,0
2026-09-09 11:19:34+00:00,2661673,C7,313329022001,CB,final_torque,2.89,2.7344885638022696,2.682184466019418,0.3166106686244901,2.731314861022724,2.0,0.02,0.0318160295972029,2.745816525213824,2.618552406825012,0
2026-09-09 11:16:03+00:00,2661648,C7,313329022001,CB,final_torque,2.45,2.731314861022724,2.682184466019418,0.3166106686244901,2.7370559806354327,2.0,0.02,0.0318158423916142,2.7458161508026464,2.6185527812361897,0
2026-09-09 11:13:35+00:00,2661643,C7,313329022001,CB,final_torque,2.78,2.7370559806354327,2.682184466019418,0.3166106686244901,2.736179572076972,2.0,0.02,0.0318156474658407,2.7458157609511,2.6185531710877368,0
2026-09-09 11:08:21+00:00,2661624,C7,313329022001,CB,final_torque,2.93,2.736179572076972,2.682184466019418,0.3166106686244901,2.7322240531397672,2.0,0.02,0.0318154445014588,2.745815355022336,2.6185535770165003,0
2026-09-09 11:05:54+00:00,2661608,C7,313329022001,CB,final_torque,2.1,2.7322240531397672,2.682184466019418,0.3166106686244901,2.7451265848364974,2.0,0.02,0.0318152331669071,2.745814932353232,2.618553999685604,0
2026-09-09 11:04:23+00:00,2661606,C7,313329022001,CB,final_torque,2.72,2.7451265848364974,2.682184466019418,0.3166106686244901,2.7456393722821404,2.0,0.02,0.0318150131169441,2.7458144922533063,2.61855443978553,0
