source_timestamp,job_id,cell_name,part_number,station_name,activity_name,activity_value,ewma,mean,stddev,z_prev,L,lambda_,sigma_ewma,ucl,lcl,drift
2026-09-07 12:29:09+00:00,2653416,C7,313329022001,CB,final_torque,2.61,2.6796664237413936,2.7127572016460895,0.2733487851315896,2.681088187491218,2.0,0.02,0.027471838845307555,2.7677008793367044,2.6578135239554745,0
2026-09-07 12:28:36+00:00,2653411,C7,313329022001,CB,final_torque,2.64,2.681088187491218,2.7127572016460895,0.2733487851315896,2.6819267219298144,2.0,0.02,0.027471808013609763,2.767700817673309,2.65781358561887,0
2026-09-07 12:26:06+00:00,2653407,C7,313329022001,CB,final_torque,2.36,2.6819267219298144,2.7127572016460895,0.2733487851315896,2.6884966550304226,2.0,0.02,0.027471775910597362,2.767700753467284,2.6578136498248948,0
2026-09-07 12:25:41+00:00,2653406,C7,313329022001,CB,final_torque,2.65,2.6884966550304226,2.7127572016460895,0.2733487851315896,2.6892823010514517,2.0,0.02,0.02747174248384737,2.767700686613784,2.657813716678395,0
2026-09-07 12:25:25+00:00,2653405,C7,313329022001,CB,final_torque,2.57,2.6892823010514517,2.7127572016460895,0.2733487851315896,2.6917166337259713,2.0,0.02,0.027471707678775003,2.7677006170036393,2.6578137862885396,0
2026-09-07 12:24:59+00:00,2653402,C7,313329022001,CB,final_torque,2.38,2.6917166337259713,2.7127572016460895,0.2733487851315896,2.6980781976795623,2.0,0.02,0.027471671438544502,2.7677005445231786,2.6578138587690003,0
2026-09-07 12:24:41+00:00,2653399,C7,313329022001,CB,final_torque,2.44,2.6980781976795623,2.7127572016460895,0.2733487851315896,2.703345099673023,2.0,0.02,0.027471633703976307,2.767700469054042,2.657813934238137,0
2026-09-07 12:11:28+00:00,2653345,C7,313329022001,CB,final_torque,2.74,2.703345099673023,2.7127572016460895,0.2733487851315896,2.7025970404826762,2.0,0.02,0.02747159441345039,2.7677003904729904,2.6578140128191885,0
2026-09-07 12:10:38+00:00,2653342,C7,313329022001,CB,final_torque,3.03,2.7025970404826762,2.7127572016460895,0.2733487851315896,2.6959153474313022,2.0,0.02,0.02747155350280558,2.7677003086517007,2.6578140946404782,0
2026-09-07 12:10:19+00:00,2653339,C7,313329022001,CB,final_torque,2.39,2.6959153474313022,2.7127572016460895,0.2733487851315896,2.702158517787043,2.0,0.02,0.02747151090523479,2.767700223456559,2.65781417983562,0
